tournament_id,total_sg:ott,player_url,measured_rounds,average,rounds,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season
t005,.199,https://www.pgatour.com/players/player.27330.josh-teater.html,2,.100,4,27330,35,Josh Teater,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.151,https://www.pgatour.com/players/player.27895.jonas-blixt.html,2,.076,4,27895,36,Jonas Blixt,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.129,https://www.pgatour.com/players/player.49766.hank-lebioda.html,2,.065,4,49766,37,Hank Lebioda,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.226,https://www.pgatour.com/players/player.47347.adam-schenk.html,2,-.113,4,47347,38,Adam Schenk,13,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.251,https://www.pgatour.com/players/player.30692.scott-stallings.html,2,-.126,4,30692,39,Scott Stallings,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.292,https://www.pgatour.com/players/player.06522.ernie-els.html,2,-.146,4,06522,40,Ernie Els,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.316,https://www.pgatour.com/players/player.33419.cameron-tringale.html,2,-.158,4,33419,41,Cameron Tringale,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.363,https://www.pgatour.com/players/player.39954.cody-gribble.html,2,-.182,4,39954,42,Cody Gribble,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.403,https://www.pgatour.com/players/player.37380.curtis-luck.html,2,-.202,4,37380,43,Curtis Luck,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.412,https://www.pgatour.com/players/player.30911.tommy-fleetwood.html,2,-.206,4,30911,44,Tommy Fleetwood,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.446,https://www.pgatour.com/players/player.34261.scott-langley.html,2,-.223,4,34261,45,Scott Langley,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.498,https://www.pgatour.com/players/player.34256.andrew-putnam.html,2,-.249,4,34256,46,Andrew Putnam,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.748,https://www.pgatour.com/players/player.28775.nate-lashley.html,2,-.374,4,28775,47,Nate Lashley,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.863,https://www.pgatour.com/players/player.39977.max-homa.html,2,-.432,4,39977,48,Max Homa,17,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.867,https://www.pgatour.com/players/player.35376.roberto-diaz.html,2,-.434,4,35376,49,Roberto Díaz,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-.961,https://www.pgatour.com/players/player.32200.roberto-castro.html,2,-.481,4,32200,50,Roberto Castro,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.236,https://www.pgatour.com/players/player.34360.patrick-reed.html,2,-.618,4,34360,51,Patrick Reed,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.282,https://www.pgatour.com/players/player.31560.brian-stuard.html,2,-.641,4,31560,52,Brian Stuard,64,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.442,https://www.pgatour.com/players/player.22913.john-rollins.html,2,-.721,4,22913,53,John Rollins,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.631,https://www.pgatour.com/players/player.29725.tony-finau.html,2,-.816,4,29725,54,Tony Finau,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.647,https://www.pgatour.com/players/player.27963.chris-stroud.html,2,-.824,4,27963,55,Chris Stroud,72,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-1.983,https://www.pgatour.com/players/player.29223.sam-saunders.html,2,-.992,4,29223,56,Sam Saunders,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-2.110,https://www.pgatour.com/players/player.45157.cameron-davis.html,2,-1.055,4,45157,57,Cameron Davis,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-2.424,https://www.pgatour.com/players/player.30191.julian-etulain.html,2,-1.212,4,30191,58,Julián Etulain,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-2.959,https://www.pgatour.com/players/player.24925.jonathan-byrd.html,2,-1.480,4,24925,59,Jonathan Byrd,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,-4.056,https://www.pgatour.com/players/player.34046.jordan-spieth.html,2,-2.028,4,34046,60,Jordan Spieth,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t003,7.346,https://www.pgatour.com/players/player.25804.bubba-watson.html,4,1.837,4,25804,1,Bubba Watson,,Tournament Only,Waste Management Phoenix Open,2019
t003,6.247,https://www.pgatour.com/players/player.31323.gary-woodland.html,4,1.562,4,31323,2,Gary Woodland,8,Tournament Only,Waste Management Phoenix Open,2019
